City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Marawi,PH,7.9986,124.2928,82.0,74,93,21.0,overcast clouds
80,Baghmara,IN,23.795,86.2085,76.75,16,0,10.13,clear sky
81,Yichang,CN,30.7144,111.2847,48.99,70,100,0.81,light rain
82,Port-Cartier,CA,50.0334,-66.8654,21.2,73,51,5.75,broken clouds
83,Lagoa,PT,39.05,-27.9833,61.86,95,51,17.09,broken clouds
84,Mataura,NZ,-46.1927,168.8643,55.67,75,100,1.41,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,-7.64,80,61,2.06,broken clouds
86,Torbay,CA,47.6666,-52.7314,30.99,100,90,13.8,light snow
87,Puerto Escondido,MX,15.85,-97.0667,74.93,66,14,2.59,few clouds
88,Faanui,PF,-16.4833,-151.75,81.82,74,85,14.65,overcast clouds
89,Kulhudhuffushi,MV,6.6221,73.07,82.29,69,9,7.87,clear sky
90,Calvinia,ZA,-31.4707,19.776,78.8,19,0,5.75,clear sky
91,Great Yarmouth,GB,52.6083,1.7305,42.01,65,0,9.22,clear sky
92,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,19.57,scattered clouds
93,Lompoc,US,34.6391,-120.4579,48.0,100,1,2.21,clear sky
94,Richards Bay,ZA,-28.783,32.0377,88.12,64,60,9.69,broken clouds
95,Kalino,RU,58.2504,57.6085,24.49,97,98,7.02,overcast clouds
96,Severo-Kurilsk,RU,50.6789,156.125,23.54,94,100,39.62,light snow
97,Baruun-Urt,MN,46.6806,113.2792,-2.72,90,100,18.28,light snow
98,Silveira,PT,39.1112,-9.3643,59.0,99,100,10.0,overcast clouds
99,Lima,PE,-12.0432,-77.0282,71.01,83,0,5.75,clear sky
100,Ostrovnoy,RU,68.0531,39.5131,14.32,94,87,9.66,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,22,5.99,few clouds
102,Yeppoon,AU,-23.1333,150.7333,78.8,69,20,8.05,few clouds
103,Bonthe,SL,7.5264,-12.505,82.69,67,44,4.94,scattered clouds
104,Nuuk,GL,64.1835,-51.7216,15.8,79,0,16.11,clear sky
105,Geraldton,AU,-28.7667,114.6,89.6,31,0,24.16,clear sky
106,Duiwelskloof,ZA,-23.6934,30.14,81.14,66,15,6.82,light rain
107,Sisimiut,GL,66.9395,-53.6735,3.83,86,41,8.59,scattered clouds
108,Arcachon,FR,44.5875,-1.0519,53.6,94,90,13.8,overcast clouds
109,Peniche,PT,39.3558,-9.3811,57.99,96,100,15.99,overcast clouds
110,Komsomolskiy,UZ,40.4272,71.7189,50.0,29,84,6.91,broken clouds
111,Anchorage,US,61.2181,-149.9003,10.4,72,1,5.19,clear sky
112,Esperance,AU,-33.8667,121.9,77.0,47,0,18.41,clear sky
113,Bethel,US,41.3712,-73.414,12.0,78,1,3.44,clear sky
114,Sooke,CA,48.3746,-123.7276,45.0,87,100,17.27,overcast clouds
115,Tiksi,RU,71.6872,128.8694,-25.92,87,100,5.68,overcast clouds
116,Lebu,CL,-37.6167,-73.65,54.73,93,5,7.94,clear sky
117,Bima,ID,-8.4667,118.7167,81.18,82,100,1.57,overcast clouds
118,Beringovskiy,RU,63.05,179.3167,6.48,94,100,29.86,snow
119,Khilok,RU,51.3674,110.4676,-19.91,83,100,6.93,overcast clouds
120,Saint George,US,37.1041,-113.5841,35.6,75,1,3.58,clear sky
121,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
122,Westport,US,41.1415,-73.3579,17.01,67,1,5.75,clear sky
123,Thompson,CA,55.7435,-97.8558,12.2,92,90,2.3,light snow
124,Atlantis,ZA,-33.5667,18.4834,73.0,81,99,12.68,overcast clouds
125,Gao,ML,16.6362,1.637,79.16,15,2,14.85,clear sky
126,Turukhansk,RU,65.8167,87.9833,-19.73,82,100,8.5,overcast clouds
127,Port-Gentil,GA,-0.7193,8.7815,84.2,74,40,2.3,scattered clouds
128,Port Hardy,CA,50.6996,-127.4199,42.8,93,90,10.36,moderate rain
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,73,0,11.5,clear sky
130,Jamestown,US,42.097,-79.2353,23.0,68,90,5.75,overcast clouds
131,Athabasca,CA,54.7169,-113.2854,-4.0,84,0,2.3,clear sky
132,Carnarvon,AU,-24.8667,113.6333,82.4,83,10,18.41,clear sky
133,Marechal Deodoro,BR,-9.7103,-35.895,77.0,94,75,6.02,broken clouds
134,Anadyr,RU,64.75,177.4833,1.4,78,90,29.08,heavy snow
135,Denpasar,ID,-8.65,115.2167,84.2,79,20,12.66,few clouds
136,Morro Bay,US,35.3658,-120.8499,44.01,93,1,3.04,clear sky
137,Santiago,CL,-33.4569,-70.6483,64.0,88,40,5.75,scattered clouds
138,Kattivakkam,IN,13.2167,80.3167,86.0,54,20,11.5,few clouds
139,Nagato,JP,34.3833,131.2,48.2,76,0,8.05,clear sky
140,Kinkala,CG,-4.3614,14.7644,78.8,78,40,4.61,scattered clouds
141,Iranshahr,IR,27.2025,60.6848,75.2,29,0,4.61,clear sky
142,Nanortalik,GL,60.1432,-45.2371,27.03,91,100,6.33,overcast clouds
143,Williston,US,48.147,-103.618,10.4,85,1,1.83,mist
144,Asyut,EG,27.181,31.1837,64.4,34,0,5.75,clear sky
145,Wau,SS,7.7029,27.9953,95.29,10,67,7.58,broken clouds
146,Sioux Lookout,CA,50.1001,-91.917,21.2,93,90,3.44,light snow
147,Muromtsevo,RU,56.3724,75.2418,5.79,94,100,9.37,overcast clouds
148,Jaisalmer,IN,26.9147,70.9181,82.72,11,0,9.42,clear sky
149,Rutana,BI,-3.8667,30.1,74.32,60,61,4.7,broken clouds
150,Price,US,39.5994,-110.8107,17.6,73,1,3.44,clear sky
151,Korla,CN,41.7597,86.1469,34.39,67,17,7.96,few clouds
152,Port Elizabeth,ZA,-33.918,25.5701,82.99,50,0,8.01,clear sky
153,Grants,US,35.1473,-107.8514,15.8,86,1,4.61,clear sky
154,Pacific Grove,US,36.6177,-121.9166,48.0,87,1,4.61,clear sky
155,Neuquen,AR,-38.9516,-68.0591,60.8,72,75,6.91,moderate rain
156,Chimbote,PE,-9.0853,-78.5783,69.62,78,93,6.22,overcast clouds
157,Kralendijk,BQ,12.15,-68.2667,75.2,88,40,18.41,scattered clouds
158,Itarema,BR,-2.9248,-39.9167,78.85,82,100,11.23,overcast clouds
159,Sainte-Maxime,FR,43.3,6.6333,57.99,58,26,16.11,scattered clouds
160,Kanadey,RU,53.1679,47.5264,27.95,95,100,18.84,light snow
161,Husavik,IS,66.0449,-17.3389,14.0,79,75,3.44,broken clouds
162,Mount Isa,AU,-20.7333,139.5,96.8,26,93,10.36,overcast clouds
163,Encruzilhada Do Sul,BR,-30.5439,-52.5219,66.38,98,100,1.99,overcast clouds
164,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,100,75,11.5,broken clouds
165,Hobyo,SO,5.3505,48.5268,80.96,57,4,17.27,clear sky
166,Necochea,AR,-38.5473,-58.7368,57.0,72,56,1.01,broken clouds
167,Saint-Pierre,RE,-21.3393,55.4781,89.6,58,0,27.63,light rain
168,Constitucion,CL,-35.3333,-72.4167,57.18,89,8,6.26,clear sky
169,Lucea,JM,18.451,-78.1736,75.0,81,75,3.44,broken clouds
170,Khatanga,RU,71.9667,102.5,-47.7,77,46,2.42,scattered clouds
171,Corowa,AU,-36.0333,146.3833,79.0,38,0,3.83,clear sky
172,Vanavara,RU,60.34,102.2797,-32.33,83,41,5.06,scattered clouds
173,Hualmay,PE,-11.0964,-77.6139,69.89,79,76,9.48,broken clouds
174,Boffa,GN,10.1667,-14.0333,83.57,51,82,2.93,broken clouds
175,Chicama,PE,-7.8447,-79.1469,72.68,67,31,6.2,scattered clouds
176,San Carlos De Bariloche,AR,-41.1456,-71.3082,50.0,81,40,10.36,scattered clouds
177,Makakilo City,US,21.3469,-158.0858,73.4,78,1,3.44,light rain
178,Yumen,CN,40.2833,97.2,33.28,61,0,22.68,clear sky
179,Cidreira,BR,-30.1811,-50.2056,73.31,90,100,6.69,overcast clouds
180,Kismayo,SO,-0.3582,42.5454,82.62,60,7,16.31,clear sky
181,Hambantota,LK,6.1241,81.1185,87.8,70,40,12.66,scattered clouds
182,Dwarka,IN,22.2394,68.9678,76.51,31,0,9.6,clear sky
183,Brokopondo,SR,4.75,-55.1667,75.45,88,43,11.03,scattered clouds
184,Vigrestad,NO,58.5667,5.7,28.99,100,40,2.3,scattered clouds
185,Acapulco,MX,16.8634,-99.8901,74.03,80,95,3.49,overcast clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,88,75,12.66,broken clouds
187,Cayenne,GF,4.9333,-52.3333,78.8,89,90,9.22,overcast clouds
188,Taranto,IT,40.6167,17.25,57.2,94,75,10.36,light rain
189,Cockburn Town,TC,21.4612,-71.1419,73.47,72,24,21.0,few clouds
190,Ostersund,SE,63.1792,14.6357,9.0,85,90,0.85,light snow
191,Liangxiang,CN,39.7319,116.14,30.99,72,0,1.01,clear sky
192,Terra Rica,BR,-22.7094,-52.6169,70.83,92,92,5.99,overcast clouds
193,Rawson,AR,-43.3002,-65.1023,62.29,62,92,17.96,overcast clouds
194,Labytnangi,RU,66.6572,66.4183,-11.85,88,100,3.47,overcast clouds
195,Pevek,RU,69.7008,170.3133,-33.03,84,2,2.73,clear sky
196,Cherskiy,RU,68.75,161.3,-34.56,83,0,1.5,clear sky
197,Aklavik,CA,68.2191,-135.0107,-27.4,68,100,3.44,overcast clouds
198,Tecoanapa,MX,16.5167,-98.75,72.68,81,80,3.0,broken clouds
199,Isla Mujeres,MX,21.2311,-86.731,77.0,83,1,4.61,clear sky
200,Saskylakh,RU,71.9167,114.0833,-31.95,83,100,8.28,overcast clouds
201,The Valley,AI,18.217,-63.0578,77.0,78,40,10.36,scattered clouds
202,Aswan,EG,24.0934,32.907,72.95,20,0,9.48,clear sky
203,Boras,SE,57.721,12.9401,24.8,93,75,2.3,broken clouds
204,Bandarbeyla,SO,9.4942,50.8122,77.2,60,21,16.64,few clouds
205,Port Moresby,PG,-9.4431,147.1797,75.2,94,90,8.79,moderate rain
206,Qorveh,IR,35.1664,47.8045,36.59,71,90,10.27,overcast clouds
207,Flin Flon,CA,54.7682,-101.865,-0.65,93,25,3.27,scattered clouds
208,Buraydah,SA,26.326,43.975,64.4,48,0,9.22,clear sky
209,Turinskaya Sloboda,RU,57.6232,64.3858,15.71,96,70,2.75,broken clouds
210,Dalvik,IS,65.9702,-18.5286,14.0,79,75,3.44,broken clouds
211,Namibe,AO,-15.1961,12.1522,77.0,65,40,6.38,scattered clouds
212,San Joaquin,US,37.9333,-121.3011,51.01,76,90,8.05,overcast clouds
213,Faya,SA,18.3851,42.4509,73.4,18,0,17.27,clear sky
214,Barrow,US,71.2906,-156.7887,-18.4,69,90,5.75,overcast clouds
215,Kloulklubed,PW,7.0419,134.2556,80.6,78,90,8.05,overcast clouds
216,Roald,NO,62.5833,6.1333,32.0,93,90,3.44,snow
217,Manggar,ID,-2.8833,108.2667,82.99,73,100,11.16,light rain
218,Dumas,US,35.8656,-101.9732,36.0,74,1,9.22,clear sky
219,East London,ZA,-33.0153,27.9116,80.85,67,4,10.18,clear sky
220,Erzin,TR,36.9559,36.2,55.0,79,37,2.55,scattered clouds
221,Dingle,PH,10.9995,122.6711,75.45,81,68,11.63,broken clouds
222,Antalaha,MG,-14.9003,50.2788,86.32,61,9,11.14,clear sky
223,La Palma,US,33.8464,-118.0467,54.0,100,1,3.83,clear sky
224,Copiapo,CL,-27.3667,-70.3333,62.6,88,90,8.05,overcast clouds
225,Provideniya,RU,64.3833,-173.3,-8.79,88,100,21.99,light snow
226,Paamiut,GL,61.994,-49.6678,22.41,90,0,12.28,clear sky
227,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,73,90,11.5,overcast clouds
228,Margate,GB,51.3813,1.3862,39.0,72,100,3.0,overcast clouds
229,Telfs,AT,47.3,11.0667,36.0,100,75,2.3,mist
230,Nome,US,64.5011,-165.4064,-5.8,65,20,3.44,few clouds
231,Kaitangata,NZ,-46.2817,169.8464,62.01,90,100,1.99,overcast clouds
232,Bintulu,MY,3.1667,113.0333,84.2,84,40,8.05,scattered clouds
233,Koslan,RU,63.4564,48.8989,18.41,96,100,8.43,overcast clouds
234,Pativilca,PE,-10.7,-77.7833,68.18,85,73,6.62,broken clouds
235,Ishigaki,JP,24.3448,124.1572,68.0,60,40,10.36,scattered clouds
236,Portland,US,45.5234,-122.6762,46.99,81,90,12.66,light rain
237,Fiditi,NG,7.7136,3.9172,92.64,31,40,2.8,scattered clouds
238,Ulladulla,AU,-35.35,150.4667,66.99,100,90,2.98,overcast clouds
239,Olinda,BR,-8.0089,-34.8553,78.8,73,75,8.05,broken clouds
240,Praya,CV,14.9215,-23.5087,73.4,56,0,19.57,clear sky
241,Winneba,GH,5.3511,-0.6231,82.4,83,40,10.36,mist
242,Owo,NG,7.1962,5.5868,94.17,26,12,2.39,few clouds
243,Cabo San Lucas,MX,22.8909,-109.9124,63.0,73,47,5.99,scattered clouds
244,Ahipara,NZ,-35.1667,173.1667,60.4,78,5,2.93,clear sky
245,Mbandaka,CD,0.0487,18.2603,88.02,55,4,3.24,clear sky
246,Svolvaer,NO,68.2342,14.5683,26.6,68,0,9.22,clear sky
247,Lydenburg,ZA,-25.0978,30.4597,73.81,79,77,5.28,moderate rain
248,Kailua,US,21.4022,-157.7394,73.4,73,40,13.8,scattered clouds
249,Bambous Virieux,MU,-20.3428,57.7575,87.01,66,75,13.8,broken clouds
250,Nyurba,RU,63.2842,118.3319,-47.18,76,63,0.56,broken clouds
251,Maceio,BR,-9.6658,-35.7353,77.0,94,75,7.47,broken clouds
252,Poitiers,FR,46.5833,0.3333,50.0,93,90,6.91,overcast clouds
253,Bukachacha,RU,52.9833,116.9167,-22.27,81,4,2.84,clear sky
254,Sheridan,US,44.8333,-106.9173,24.8,74,1,6.91,clear sky
255,Padang,ID,-0.9492,100.3543,83.3,69,91,4.5,overcast clouds
256,Qaanaaq,GL,77.484,-69.3632,-2.72,88,100,1.81,overcast clouds
257,Marienburg,PL,54.0359,19.0266,30.0,79,40,8.01,scattered clouds
258,Mayo,US,38.8876,-76.5119,35.01,69,90,4.61,light snow
259,Yar-Sale,RU,66.8333,70.8333,-11.0,90,100,12.77,light snow
260,Saint-Philippe,RE,-21.3585,55.7679,89.6,58,0,27.63,light rain
261,Sai Buri,TH,6.7013,101.6168,82.4,69,40,13.8,scattered clouds
262,Pontianak,ID,-0.0333,109.3333,80.6,94,75,5.75,moderate rain
263,Taoudenni,ML,22.6783,-3.9836,76.15,17,0,2.59,clear sky
264,Leningradskiy,RU,69.3833,178.4167,-26.64,82,0,5.5,clear sky
265,Basco,PH,20.4487,121.9702,70.3,71,100,26.51,overcast clouds
266,Kontagora,NG,10.3999,5.4695,90.63,11,0,5.1,clear sky
267,Saldanha,ZA,-33.0117,17.9442,70.0,77,94,11.3,overcast clouds
268,Ust-Kuyga,RU,70.0167,135.6,-34.19,81,99,5.57,overcast clouds
269,Nishihara,JP,26.1842,127.7558,64.4,42,40,11.5,scattered clouds
270,Labrea,BR,-7.2586,-64.7981,72.52,97,95,2.26,moderate rain
271,Aykhal,RU,66.0,111.5,-33.45,80,100,9.93,overcast clouds
272,Savino,RU,56.5929,41.2181,32.68,98,100,10.04,snow
273,Coos Bay,US,43.3665,-124.2179,48.99,99,100,1.01,overcast clouds
274,Muros,ES,42.7762,-9.0603,57.99,94,100,7.0,overcast clouds
275,Mendoza,AR,-32.8908,-68.8272,59.0,88,75,10.36,light intensity drizzle
276,Atambua,ID,-9.1061,124.8925,75.4,88,100,4.83,heavy intensity rain
277,Havelock,US,34.8791,-76.9013,37.99,60,90,6.91,overcast clouds
278,Malkangiri,IN,18.35,81.9,90.82,21,0,2.06,clear sky
279,Aras,ES,42.5617,-2.356,50.0,66,90,10.36,light rain
280,Mount Gambier,AU,-37.8333,140.7667,64.4,63,0,14.97,clear sky
281,Ancud,CL,-41.8697,-73.8203,45.0,100,0,2.3,clear sky
